prompt,optionA,optionB,optionC,optionD,answerIndex,typeId,explanation
二战诺曼底登陆发生在哪一年？,1942年,1943年,1944年,1945年,3,10,1944年6月6日盟军在诺曼底登陆，开辟欧洲第二战场。
中国古代四大发明不包括哪个？,造纸术,印刷术,火药,纺织术,4,10,四大发明是造纸术、印刷术、火药和指南针。
文艺复兴起源于哪个国家？,法国,英国,德国,意大利,4,10,14-16世纪文艺复兴从意大利佛罗伦萨兴起。
唐朝的开国皇帝是谁？,李世民,李渊,李治,李隆基,2,10,李渊于618年建立唐朝，是为唐高祖。
法国大革命开始于哪一年？,1776年,1789年,1792年,1804年,2,10,1789年7月14日巴黎人民攻占巴士底狱。
丝绸之路最早开辟于哪个朝代？,秦朝,汉朝,唐朝,明朝,2,10,张骞于公元前138年出使西域，开辟丝绸之路。
工业革命最先发生在哪个国家？,法国,德国,美国,英国,4,10,18世纪60年代工业革命从英国棉纺织业开始。
二战太平洋战争的转折点是什么？,诺曼底,斯大林格勒,中途岛,柏林,3,10,1942年中途岛海战扭转了太平洋战局。
中国共产党成立在哪一年？,1919年,1920年,1921年,1927年,3,10,1921年7月中共一大在上海召开。
《红楼梦》的作者是谁？,罗贯中,施耐庵,曹雪芹,吴承恩,3,1,曹雪芹著前80回，高鹗续写后40回。
但愿人长久千里共婵娟出自谁？,李白,杜甫,苏轼,辛弃疾,3,1,苏轼《水调歌头》，创作于宋神宗熙宁九年中秋。
莎士比亚四大悲剧不包括哪个？,哈姆雷特,奥赛罗,李尔王,威尼斯商人,4,1,《威尼斯商人》是喜剧，非悲剧。
床前明月光的作者是谁？,杜甫,王维,李白,白居易,3,1,李白《静夜思》，流传最广的古诗之一。
中国现存最早的诗文总集是什么？,《诗经》,《楚辞》,《文选》,《全唐诗》,1,1,《诗经》收集西周至春秋中叶诗歌305篇。
鲁迅第一篇白话小说是什么？,《阿Q正传》,《狂人日记》,《药》,《祝福》,2,1,《狂人日记》发表于1918年。
春蚕到死丝方尽的作者是谁？,李白,杜甫,李商隐,杜牧,3,1,李商隐《无题》。
《百年孤独》的作者是谁？,博尔赫斯,卡尔维诺,马尔克斯,海明威,3,1,加西亚·马尔克斯，魔幻现实主义代表作。
中国第一部纪传体通史是什么？,《汉书》,《左传》,《史记》,《资治通鉴》,3,1,司马迁著，记载从黄帝到汉武帝约3000年历史。
先天下之忧而忧出自哪里？,岳阳楼记,滕王阁序,醉翁亭记,兰亭序,1,1,范仲淹《岳阳楼记》。
孙悟空的金箍棒多重？,一万三千五百斤,一万斤,九千斤,两万斤,1,1,原著记载如意金箍棒重一万三千五百斤。
光在真空中的速度约为？,10万km/s,20万km/s,30万km/s,40万km/s,3,13,"光速约为299,792,458 m/s。"
牛顿第一定律又称为什么？,万有引力定律,惯性定律,反作用力定律,加速度定律,2,13,物体不受外力时保持静止或匀速直线运动。
声音在哪种介质中传播最快？,空气,水,钢铁,真空,3,13,固体传声最快，钢铁中可达5000m/s。
以下哪种不是电磁波？,X射线,紫外线,声波,微波,3,13,声波是机械波，需要介质传播。
一个标准大气压约为多少？,1.01x10^3Pa,1.01x10^5Pa,1.01x10^7Pa,1.01x10^9Pa,2,13,1 atm = 101325 Pa。
浮力定律由谁发现？,牛顿,阿基米德,伽利略,帕斯卡,2,13,阿基米德：浮力等于排开液体的重量。
能量守恒定律说明能量可以？,被创造,被消灭,转换形式,凭空消失,3,13,能量既不会创造也不会消灭，只能转换形式。
水的化学式是什么？,CO2,H2O,NaCl,O2,2,14,水由2个氢原子和1个氧原子组成。
原子序数最小的元素是什么？,氦,锂,氢,碳,3,14,氢原子序数为1，宇宙中最丰富的元素。
pH小于7的溶液呈什么性？,碱性,酸性,中性,不确定,2,14,pH<7为酸性，=7为中性，>7为碱性。
铁生锈属于什么变化？,物理变化,化学变化,核变化,无变化,2,14,铁与氧气、水反应生成氧化铁。
以下哪种气体最轻？,氧气,氮气,氢气,氦气,3,14,氢气密度最小，是最轻的气体。
黄金的化学符号是什么？,Ag,Au,Fe,Cu,2,14,Au源自拉丁文Aurum。
以下哪种不是金属？,铁,铜,硫,铝,3,14,硫是非金属元素。
氧气占空气体积约多少？,11%,21%,31%,41%,2,14,空气中氮气约78%，氧气约21%。
人体最大的器官是什么？,心脏,肝脏,皮肤,大脑,3,15,皮肤面积最大、重量最重，是人体的第一道防线。
DNA双螺旋由谁发现？,达尔文,孟德尔,沃森和克里克,施莱登,3,15,1953年提出DNA双螺旋结构模型，获诺贝尔奖。
O型血可输给什么血型？,仅O型,A和O型,B和O型,所有血型,4,15,O型血不含A和B抗原，紧急时可做万能供血者。
植物光合作用的场所是？,线粒体,细胞核,叶绿体,高尔基体,3,15,叶绿体中的叶绿素吸收光能进行光合作用。
人体细胞有多少条染色体？,23条,24对,23对,22对,3,15,人体有23对(46条)染色体。
以下哪种不是哺乳动物？,鲸鱼,鲨鱼,海豚,蝙蝠,2,15,鲨鱼是鱼类用鳃呼吸，鲸鱼海豚是哺乳动物。
哪种血细胞负责免疫？,红细胞,白细胞,血小板,血浆,2,15,白细胞能吞噬病菌并产生抗体。
北极熊的皮肤是什么颜色？,白色,黑色,棕色,灰色,2,15,北极熊毛是透明的，皮肤是黑色的利于吸热。
红细胞寿命约多少天？,3天,30天,120天,365天,3,15,红细胞平均存活约120天。
圆周率的近似值是多少？,3.12,3.14,3.16,3.18,2,12,π约等于3.14或3.14159。
勾股定理中斜边平方等于什么？,两直角边平方差,两直角边平方和,两直角边之积,两直角边平方积,2,12,a^2 + b^2 = c^2。
1到10的整数相加结果是多少？,50,55,60,45,2,12,1+2+...+10=55。
等边三角形每角多少度？,45度,50度,60度,90度,3,12,三角形内角和180度，等边每角60度。
直角是多少度？,60度,90度,120度,180度,2,12,直角等于90度。
0.5乘以0.5等于多少？,0.25,0.5,1.0,2.5,1,12,0.5x0.5=0.25。
三角形内角和定理由谁用《原本》证明？,欧几里得,毕达哥拉斯,泰勒斯,阿基米德,1,12,欧几里得在《几何原本》中系统证明平面几何定理。
《蒙娜丽莎》的作者是谁？,米开朗基罗,拉斐尔,达芬奇,梵高,3,16,达芬奇，意大利文艺复兴大师。
京剧四大名旦不包括谁？,梅兰芳,程砚秋,荀慧生,谭鑫培,4,16,谭鑫培是老生行当，四大名旦为梅程荀尚。
二胡属于哪类乐器？,弹拨乐器,吹管乐器,打击乐器,拉弦乐器,4,16,二胡通过弓毛摩擦琴弦发音。
梵高是哪国画家？,法国,英国,德国,荷兰,4,16,文森特·梵高，荷兰后印象派画家。
交响乐之父海顿是哪国人？,英国,德国,法国,奥地利,4,16,约瑟夫·海顿，奥地利作曲家。
五线谱有几条线？,3条,4条,5条,7条,3,16,五线谱由五条平行线组成。
以下哪种不是铜管乐器？,小号,长号,圆号,双簧管,4,16,双簧管是木管乐器。
奥运会几年一次？,2年,3年,4年,5年,3,19,现代奥运会每四年举办一次。
足球比赛中每队几人上场？,9人,10人,11人,12人,3,19,标准足球比赛每队11人上场。
乒乓球起源于哪个国家？,中国,美国,英国,日本,3,19,乒乓球19世纪末起源于英国。
马拉松标准距离约为？,21公里,30公里,42公里,50公里,3,19,标准马拉松42.195公里。
羽毛球场地是什么形状？,圆形,正方形,长方形,六边形,3,19,羽毛球场地为长方形。
NBA有多少支球队？,20支,28支,30支,32支,3,19,NBA目前有30支球队。
成人每天建议饮水量约为？,500ml,1000ml,1500-2000ml,4000ml,3,20,成人每天建议饮水1500-2000毫升。
缺乏维生素C会导致什么？,夜盲症,坏血病,佝偻病,脚气病,2,20,缺乏VC引起坏血病，牙龈出血伤口难愈。
正常体温约多少度？,35度,36-37度,38度,39度,2,20,成人正常腋温约36-37摄氏度。
正常成人心率约每分钟？,30-40次,60-100次,120-150次,200次,2,20,正常成人心率约60-100次/分。
糖尿病主要特征是什么？,低血糖,高血糖,高血压,骨质疏松,2,20,糖尿病以血糖升高为主要特征。
现代经济学之父是谁？,凯恩斯,马克思,亚当·斯密,李嘉图,3,21,亚当·斯密1776年发表《国富论》。
通货膨胀指什么？,物价下跌,物价上涨,货币增值,就业上升,2,21,通货膨胀指货币超发导致物价持续上涨。
GDP全称是什么？,国民生产总值,国内生产总值,国民收入,国内消费指数,2,21,GDP=Gross Domestic Product。
牛市指什么？,股价持续下跌,股价持续上涨,股价不变,市场停牌,2,21,牛市(Bull Market)指股价持续上涨。
中国最大的证券交易所在哪？,上海,北京,深圳,香港,1,21,上交所成立于1990年，中国市值最大。
中秋节传统食品是什么？,汤圆,粽子,月饼,饺子,3,23,中秋吃月饼赏月，象征团圆。
十二生肖排第一的是什么？,牛,虎,龙,鼠,4,23,十二生肖以鼠为首。
以下哪个不是中国传统节日？,春节,端午节,圣诞节,重阳节,3,23,圣诞节是基督教文化节日。
五岳中东岳是什么山？,华山,衡山,恒山,泰山,4,23,东岳泰山位于山东省。
五行中不属于的是？,金,木,水,气,4,23,五行为金木水火土。
中国画基本工具不包括？,毛笔,宣纸,墨汁,油画棒,4,23,油画棒非传统中国画工具。
人体最大的内脏器官是什么？,心脏,肝脏,肾脏,肺,2,15,肝脏是人体最大的内脏器官，重约1.5公斤。
世界上第一个社会主义国家是哪个？,中国,苏联,古巴,越南,2,10,1917年俄国十月革命后建立苏维埃俄国，1922年成立苏联。
地球绕太阳公转一周大约需要多久？,28天,365天,100天,30天,2,13,地球绕太阳公转一周约为365.25天，即一年。
